State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Sample Duration,Pollutant Standard,Date Local,Units of Measure,Event Type,Observation Count,Observation Percent,Arithmetic Mean,Method Code,Method Name,CBSA Name,Date of Last Change
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-01-18,ppb,None,20,83.0,14.83,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-01-19,ppb,None,17,71.0,5.852941,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-01-20,ppb,None,20,83.0,4.48,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-01-21,ppb,None,18,75.0,4.0,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-01-22,ppb,None,24,100.0,6.616667,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-01-23,ppb,None,24,100.0,19.6375,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-01-24,ppb,None,24,100.0,19.2875,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-01-25,ppb,None,21,88.0,10.457143,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-01-26,ppb,None,18,75.0,6.183333,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-01-27,ppb,None,23,96.0,20.108696,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-01-28,ppb,None,24,100.0,9.5375,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-01-29,ppb,None,24,100.0,9.3375,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-01-30,ppb,None,24,100.0,13.116667,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-01-31,ppb,None,24,100.0,25.7,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-02-01,ppb,None,24,100.0,15.2375,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-02-02,ppb,None,20,83.0,8.585,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-02-03,ppb,None,21,88.0,5.857143,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-02-04,ppb,None,22,92.0,2.795455,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-02-05,ppb,None,24,100.0,4.9,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-02-06,ppb,None,24,100.0,15.333333,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-02-07,ppb,None,24,100.0,18.179167,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-02-08,ppb,None,21,88.0,15.652381,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-02-09,ppb,None,21,88.0,19.152381,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-02-10,ppb,None,24,100.0,23.25,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-02-11,ppb,None,24,100.0,16.433333,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-02-12,ppb,None,24,100.0,5.179167,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-02-13,ppb,None,24,100.0,3.470833,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-02-14,ppb,None,15,63.0,36.626667,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-02-15,ppb,None,21,88.0,12.128571,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-02-16,ppb,None,21,88.0,3.97619,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-02-17,ppb,None,24,100.0,3.7,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-02-18,ppb,None,24,100.0,6.370833,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-02-19,ppb,None,24,100.0,13.816667,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-02-20,ppb,None,24,100.0,11.883333,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-02-21,ppb,None,24,100.0,9.741667,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-02-22,ppb,None,21,88.0,4.533333,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-02-23,ppb,None,20,83.0,4.575,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-02-24,ppb,None,24,100.0,8.258333,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-02-25,ppb,None,24,100.0,3.629167,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-02-26,ppb,None,24,100.0,3.279167,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-02-27,ppb,None,24,100.0,4.4375,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-02-28,ppb,None,14,58.0,9.535714,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-03-01,ppb,None,24,100.0,19.8,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-03-02,ppb,None,18,75.0,26.116667,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-03-03,ppb,None,20,83.0,25.02,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-03-04,ppb,None,20,83.0,14.65,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-03-05,ppb,None,24,100.0,4.716667,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-03-06,ppb,None,24,100.0,3.4,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-03-07,ppb,None,24,100.0,3.116667,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-03-08,ppb,None,24,100.0,3.625,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-03-09,ppb,None,24,100.0,5.283333,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-03-10,ppb,None,16,67.0,12.76875,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-03-11,ppb,None,24,100.0,11.691667,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-03-12,ppb,None,24,100.0,1.8125,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-03-13,ppb,None,24,100.0,13.070833,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-03-14,ppb,None,24,100.0,14.533333,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-03-15,ppb,None,24,100.0,9.816667,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-03-16,ppb,None,20,83.0,20.42,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-03-17,ppb,None,22,92.0,14.904545,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-03-18,ppb,None,20,83.0,4.6,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-03-19,ppb,None,24,100.0,6.279167,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-03-20,ppb,None,24,100.0,10.5125,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-03-21,ppb,None,24,100.0,11.166667,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-03-22,ppb,None,23,96.0,5.165217,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-03-23,ppb,None,24,100.0,4.5125,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-03-24,ppb,None,23,96.0,14.226087,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-03-25,ppb,None,24,100.0,8.558333,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-03-26,ppb,None,24,100.0,3.408333,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-03-27,ppb,None,24,100.0,5.129167,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-03-28,ppb,None,24,100.0,7.170833,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-03-29,ppb,None,19,79.0,10.263158,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-03-30,ppb,None,23,96.0,3.082609,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-03-31,ppb,None,19,79.0,5.463158,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-04-01,ppb,None,24,100.0,6.733333,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-04-02,ppb,None,24,100.0,14.3125,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-04-03,ppb,None,24,100.0,9.3625,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-04-04,ppb,None,24,100.0,15.583333,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-04-05,ppb,None,24,100.0,8.629167,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-04-06,ppb,None,24,100.0,4.516667,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-04-07,ppb,None,21,88.0,4.047619,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-04-08,ppb,None,24,100.0,5.7375,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-04-09,ppb,None,24,100.0,4.625,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-04-10,ppb,None,24,100.0,8.870833,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-04-11,ppb,None,24,100.0,7.983333,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-04-12,ppb,None,24,100.0,4.595833,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-04-13,ppb,None,22,92.0,3.263636,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-04-14,ppb,None,19,79.0,5.721053,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-04-15,ppb,None,24,100.0,8.520833,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-04-16,ppb,None,24,100.0,6.079167,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
1,73,23,42602,1,33.553056,-86.815,WGS84,1 HOUR,NO2 1-hour 2010,2022-04-17,ppb,None,24,100.0,5.041667,200,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,"Birmingham-Hoover, AL",2024-05-22
